"Aca_ca"	"All_ma"	"Amp_sp"	"Ant_lo"	"Bat_de"	"Bla_br"	"Cap_ow"	"Cat_an"	"Chr_pe"	"Cop_ci"	"Cor_li"	"Dic_pu"	"Enc_cu"	"Enc_in"	"Ent_bi"	"Ent_hi"	"Fon_al"	"Gan_pr"	"Ich_ho"	"Lei_ma"	"Mit_da"	"Mon_br"	"Mor_ve"	"Nae_gr"	"Nem_pa"	"Nos_ce"	"Par_at"	"Par_sa"	"Par_tr"	"Phy_in"	"Pla_fa"	"Pol_pa"	"Roz_al"	"Sal_ro"	"Sch_po"	"Sph_ar"	"Spi_pu"	"The_tr"	"Tox_go"	"Try_br"	"Ust_ma"
"KOG0534"	5	12	0	0	2	4	1	5	8	4	5	2	0	0	0	0	1	4	3	11	4	1	9	4	0	1	3	0	11	6	1	1	2	3	2	5	8	6	1	11	3
"KOG0535"	1	0	0	0	1	0	1	0	1	2	1	1	0	0	0	0	0	3	0	0	0	0	3	1	0	0	1	0	3	3	0	1	0	0	0	1	4	1	1	0	2
"KOG0536"	0	2	0	0	0	1	0	1	1	2	1	1	0	1	0	0	1	1	0	1	0	0	1	3	1	0	1	0	1	1	1	1	2	1	2	1	1	2	1	1	1
"KOG0537"	5	10	0	0	5	5	5	4	7	11	3	10	0	0	0	0	6	17	2	6	2	2	11	7	0	0	6	1	15	2	1	7	1	2	3	4	14	6	1	2	6
"KOG0538"	0	0	0	0	1	0	1	0	1	3	1	1	0	0	0	0	0	4	0	0	0	0	1	0	0	0	3	0	4	2	0	1	0	1	1	0	1	1	0	0	3
"KOG0539"	0	4	0	0	1	1	1	1	1	1	0	1	0	0	0	0	2	1	0	1	2	1	3	1	0	0	1	1	3	0	0	1	2	1	1	1	2	0	1	0	1
"KOG0540"	0	3	0	0	2	2	2	2	2	2	2	1	0	0	0	0	1	1	3	2	0	1	1	2	0	0	2	2	7	2	0	1	2	2	0	2	2	0	1	1	3
"KOG0553"	0	4	1	0	1	1	2	1	1	4	1	2	0	1	0	1	1	0	2	2	2	1	1	3	0	0	4	0	2	0	0	1	1	1	1	1	1	1	0	2	1
"KOG0557"	2	2	0	0	1	1	1	1	2	3	2	2	0	0	0	0	1	1	2	2	2	2	2	2	0	0	4	1	7	3	1	2	2	1	2	2	2	2	1	2	2
"KOG0558"	1	2	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	1	2	1	1	1	0	0	2	1	3	1	1	1	2	1	0	1	1	1	1	1	1
"KOG0559"	1	2	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	2	2	2	0	0	0	1	1	3	3	1	1	2	1	1	1	1	1	2	1	1
"KOG0560"	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	10	0	0	2	0	0	0	1	0	1	1	0	0	0	1
"KOG0562"	2	2	0	0	0	1	4	2	0	1	1	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	2	1	1	1	3	1	0	1	1
